ct,ca,tiempo,tiempo_c
4, 100, 0.770436, 0.383601
16, 100, 0.8106, 0.388001
32, 100, 0.793006, 0.401726
64, 100, 0.805116, 0.403572
2, 100, 0.801116, 0.440601
4, 100, 0.776261, 0.381496
16, 100, 0.772561, 0.387859
32, 100, 0.773654, 0.395684
64, 100, 0.812578, 0.384921
2, 100, 1.01371, 0.451151
4, 100, 0.782238, 0.38991
16, 100, 0.808418, 0.390727
32, 100, 0.790282, 0.39959
64, 100, 0.803022, 0.395859
2, 100, 0.808961, 0.453069
4, 100, 0.777127, 0.38665
16, 100, 0.789, 0.39126
32, 100, 0.806635, 0.407438
64, 100, 0.818934, 0.383788
2, 100, 0.818464, 0.582245
4, 100, 0.785506, 0.391539
16, 100, 0.76681, 0.394111
32, 100, 0.847587, 0.402992
64, 100, 0.807522, 0.38745
2, 100, 0.809627, 0.531885
4, 100, 0.781691, 0.391877
16, 100, 0.791578, 0.388741
32, 100, 0.803205, 0.400574
64, 100, 0.816741, 0.390488
2, 100, 0.800684, 0.444971
4, 100, 0.772173, 0.379408
16, 100, 0.796743, 0.383916
32, 100, 0.801029, 0.402505
64, 100, 0.802499, 0.40548
2, 100, 1.00138, 0.491436
4, 100, 0.78098, 0.388597
16, 100, 0.804823, 0.393531
32, 100, 0.783329, 0.40251
64, 100, 0.814925, 0.388921
2, 100, 0.80846, 0.44233
4, 100, 0.772989, 0.380257
16, 100, 0.809067, 0.390144
32, 100, 0.783901, 0.400328
64, 100, 0.787741, 0.386126
2, 100, 1.00474, 0.628835
4, 100, 0.787726, 0.385463
16, 100, 0.803707, 0.385794
32, 100, 0.792703, 0.398419
64, 100, 0.815532, 0.403215
2, 100, 1.00991, 0.442428
4, 100, 0.770373, 0.380656
16, 100, 0.793355, 0.388632
32, 100, 0.786384, 0.412198
64, 100, 0.810891, 0.396236
2, 100, 0.802296, 0.443688
4, 100, 0.773231, 0.384607
16, 100, 0.787729, 0.392097
32, 100, 0.79347, 0.40422
64, 100, 0.798338, 0.398247
2, 100, 1.01694, 0.640365
4, 100, 0.78258, 0.38891
16, 100, 0.776061, 0.388508
32, 100, 0.803029, 0.402469
64, 100, 0.79693, 0.39248
2, 100, 1.00602, 0.446252
4, 100, 0.773267, 0.38617
16, 100, 0.79337, 0.392278
32, 100, 0.796436, 0.402318
64, 100, 0.826647, 0.39831
